word,sentiment,score,source,category,script
بہترین,positive,0.8,curated+public-seeds,polarity,urdu
عمدہ,positive,0.8,curated+public-seeds,polarity,urdu
شاندار,positive,0.8,curated+public-seeds,polarity,urdu
زبردست,positive,0.8,curated+public-seeds,polarity,urdu
کمال,positive,0.8,curated+public-seeds,polarity,urdu
کمال کا,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب,positive,0.8,curated+public-seeds,polarity,urdu
قیمتی,positive,0.8,curated+public-seeds,polarity,urdu
عظیم,positive,0.8,curated+public-seeds,polarity,urdu
خوبصورت,positive,0.8,curated+public-seeds,polarity,urdu
دلکش,positive,0.8,curated+public-seeds,polarity,urdu
دل آویز,positive,0.8,curated+public-seeds,polarity,urdu
خوش,positive,0.8,curated+public-seeds,polarity,urdu
خوشگوار,positive,0.8,curated+public-seeds,polarity,urdu
خوشحال,positive,0.8,curated+public-seeds,polarity,urdu
پرکشش,positive,0.8,curated+public-seeds,polarity,urdu
پسندیدہ,positive,0.8,curated+public-seeds,polarity,urdu
مددگار,positive,0.8,curated+public-seeds,polarity,urdu
مفید,positive,0.8,curated+public-seeds,polarity,urdu
قابل بھروسہ,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ بھروسہ,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ اعتماد,positive,0.8,curated+public-seeds,polarity,urdu
اعتماد کے قابل,positive,0.8,curated+public-seeds,polarity,urdu
بھروسہ مند,positive,0.8,curated+public-seeds,polarity,urdu
موثر,positive,0.8,curated+public-seeds,polarity,urdu
مؤثر,positive,0.8,curated+public-seeds,polarity,urdu
بہت اچھا,positive,0.8,curated+public-seeds,polarity,urdu
بہت عمدہ,positive,0.8,curated+public-seeds,polarity,urdu
متاثر کن,positive,0.8,curated+public-seeds,polarity,urdu
حیرت انگیز,positive,0.8,curated+public-seeds,polarity,urdu
حیرت انگیز حد تک,positive,0.8,curated+public-seeds,polarity,urdu
حیران کن,positive,0.8,curated+public-seeds,polarity,urdu
فرحت بخش,positive,0.8,curated+public-seeds,polarity,urdu
اطمینان بخش,positive,0.8,curated+public-seeds,polarity,urdu
کامیاب,positive,0.8,curated+public-seeds,polarity,urdu
کارگر,positive,0.8,curated+public-seeds,polarity,urdu
صاف,positive,0.8,curated+public-seeds,polarity,urdu
شفاف,positive,0.8,curated+public-seeds,polarity,urdu
محفوظ,positive,0.8,curated+public-seeds,polarity,urdu
مطلوب,positive,0.8,curated+public-seeds,polarity,urdu
اچھا,positive,0.8,curated+public-seeds,polarity,urdu
اچھی,positive,0.8,curated+public-seeds,polarity,urdu
اچھے,positive,0.8,curated+public-seeds,polarity,urdu
اچھوں,positive,0.8,curated+public-seeds,polarity,urdu
اعلیٰ,positive,0.8,curated+public-seeds,polarity,urdu
اعلی,positive,0.8,curated+public-seeds,polarity,urdu
عالیشان,positive,0.8,curated+public-seeds,polarity,urdu
نفیس,positive,0.8,curated+public-seeds,polarity,urdu
معیاری,positive,0.8,curated+public-seeds,polarity,urdu
مزیدار,positive,0.8,curated+public-seeds,polarity,urdu
مزہ دار,positive,0.8,curated+public-seeds,polarity,urdu
دل خوش کن,positive,0.8,curated+public-seeds,polarity,urdu
دل موہ لینے والا,positive,0.8,curated+public-seeds,polarity,urdu
شاندار کارکردگی,positive,0.8,curated+public-seeds,polarity,urdu
بہت پسند,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ تعریف,positive,0.8,curated+public-seeds,polarity,urdu
تعریفی,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب معیار,positive,0.8,curated+public-seeds,polarity,urdu
باعثِ مسرت,positive,0.8,curated+public-seeds,polarity,urdu
مسرت بخش,positive,0.8,curated+public-seeds,polarity,urdu
جاندار,positive,0.8,curated+public-seeds,polarity,urdu
پُرسکون,positive,0.8,curated+public-seeds,polarity,urdu
سکون بخش,positive,0.8,curated+public-seeds,polarity,urdu
حوصلہ افزا,positive,0.8,curated+public-seeds,polarity,urdu
ہوش ربا,positive,0.8,curated+public-seeds,polarity,urdu
دل نواز,positive,0.8,curated+public-seeds,polarity,urdu
پیارا,positive,0.8,curated+public-seeds,polarity,urdu
محبت بھرا,positive,0.8,curated+public-seeds,polarity,urdu
مہذب,positive,0.8,curated+public-seeds,polarity,urdu
شائستہ,positive,0.8,curated+public-seeds,polarity,urdu
مہربان,positive,0.8,curated+public-seeds,polarity,urdu
رحمدل,positive,0.8,curated+public-seeds,polarity,urdu
خیر خواہ,positive,0.8,curated+public-seeds,polarity,urdu
بہت عمدہ معیار,positive,0.8,curated+public-seeds,polarity,urdu
زہین,positive,0.8,curated+public-seeds,polarity,urdu
ذہین,positive,0.8,curated+public-seeds,polarity,urdu
قابل,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ قدر,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ تعریف کارکردگی,positive,0.8,curated+public-seeds,polarity,urdu
پر اثر,positive,0.8,curated+public-seeds,polarity,urdu
معقول,positive,0.8,curated+public-seeds,polarity,urdu
بہت بہتر,positive,0.8,curated+public-seeds,polarity,urdu
پر اعتماد,positive,0.8,curated+public-seeds,polarity,urdu
پر جوش,positive,0.8,curated+public-seeds,polarity,urdu
حوصلہ مند,positive,0.8,curated+public-seeds,polarity,urdu
مثبت,positive,0.8,curated+public-seeds,polarity,urdu
پائیدار,positive,0.8,curated+public-seeds,polarity,urdu
مضبوط,positive,0.8,curated+public-seeds,polarity,urdu
مستحکم,positive,0.8,curated+public-seeds,polarity,urdu
دلنشین,positive,0.8,curated+public-seeds,polarity,urdu
دل فریب,positive,0.8,curated+public-seeds,polarity,urdu
دلربا,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب ذائقہ,positive,0.8,curated+public-seeds,polarity,urdu
بہترین ذائقہ,positive,0.8,curated+public-seeds,polarity,urdu
انتہائی مطمئن,positive,0.8,curated+public-seeds,polarity,urdu
بہت مطمئن,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب سروس,positive,0.8,curated+public-seeds,polarity,urdu
بہترین سروس,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ ستائش,positive,0.8,curated+public-seeds,polarity,urdu
پرکشش ڈیزائن,positive,0.8,curated+public-seeds,polarity,urdu
برا,negative,0.8,curated+public-seeds,polarity,urdu
بری,negative,0.8,curated+public-seeds,polarity,urdu
برے,negative,0.8,curated+public-seeds,polarity,urdu
بدترین,negative,0.8,curated+public-seeds,polarity,urdu
انتہائی برا,negative,0.8,curated+public-seeds,polarity,urdu
انتہائی بری,negative,0.8,curated+public-seeds,polarity,urdu
